ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2009-12-01,4667.58413329,-314.7391423620995,7975.17902493233,4667.58413329,4667.58413329,-0.1491413647930008,-0.1491413647930008,-0.1491413647930008,-0.1491413647930008,-0.1491413647930008,-0.1491413647930008,0.0,0.0,0.0,3971.4542653649737
2010-01-01,4661.548661346093,2000.8190390916673,10612.205150494783,4661.548661346093,4661.548661346093,0.32473670600006904,0.32473670600006904,0.32473670600006904,0.32473670600006904,0.32473670600006904,0.32473670600006904,0.0,0.0,0.0,6175.324618490654
2010-02-01,4655.513189402186,4076.4903423363253,13144.347103577222,4655.513189402186,4655.513189402186,0.8319145914834705,0.8319145914834705,0.8319145914834705,0.8319145914834705,0.8319145914834705,0.8319145914834705,0.0,0.0,0.0,8528.502542509614
2010-03-01,4650.061795388334,8083.195902300041,16208.744215320921,4650.061795388334,4650.061795388334,1.6190828950169962,1.6190828950169962,1.6190828950169962,1.6190828950169962,1.6190828950169962,1.6190828950169962,0.0,0.0,0.0,12178.897309073609
2010-04-01,4644.026323444427,3696.4046637288807,12177.510468924756,4644.026323444427,4644.026323444427,0.7028450542739002,0.7028450542739002,0.7028450542739002,0.7028450542739002,0.7028450542739002,0.7028450542739002,0.0,0.0,0.0,7908.057256795147
2010-05-01,4638.185544143872,1840.7926169172372,10781.574353154721,4638.185544143872,4638.185544143872,0.37719055496539516,0.37719055496539516,0.37719055496539516,0.37719055496539516,0.37719055496539516,0.37719055496539516,0.0,0.0,0.0,6387.665323571972
2010-06-01,4632.150072199965,1361.5868927654299,10123.094038167657,4632.150072199965,4632.150072199965,0.2242738345345711,0.2242738345345711,0.2242738345345711,0.2242738345345711,0.2242738345345711,0.2242738345345711,0.0,0.0,0.0,5671.020131031842
2010-07-01,4626.30929289941,-298.09845026986767,8542.079294248648,4626.30929289941,4626.30929289941,-0.10955946633343178,-0.10955946633343178,-0.10955946633343178,-0.10955946633343178,-0.10955946633343178,-0.10955946633343178,0.0,0.0,0.0,4119.453315675954
2010-08-01,4620.273820955503,-478.44302913671356,8270.527614518618,4620.273820955503,4620.273820955503,-0.17560966351402435,-0.17560966351402435,-0.17560966351402435,-0.17560966351402435,-0.17560966351402435,-0.17560966351402435,0.0,0.0,0.0,3808.9090899148514
2010-09-01,4614.238349011595,-957.6966373576133,7829.604221212852,4614.238349011595,4614.238349011595,-0.25407773333157857,-0.25407773333157857,-0.25407773333157857,-0.25407773333157857,-0.25407773333157857,-0.25407773333157857,0.0,0.0,0.0,3441.863128243084
2010-10-01,4608.397569711041,-785.1219044163977,7854.61723306091,4608.397569711041,4608.397569711041,-0.24454103395198856,-0.24454103395198856,-0.24454103395198856,-0.24454103395198856,-0.24454103395198856,-0.24454103395198856,0.0,0.0,0.0,3481.4552631520714
2010-11-01,4602.3620977671335,-1376.982701264045,7072.590331045051,4602.3620977671335,4602.3620977671335,-0.33955480250338066,-0.33955480250338066,-0.33955480250338066,-0.33955480250338066,-0.33955480250338066,-0.33955480250338066,0.0,0.0,0.0,3039.6079446107697
2010-12-01,4596.521318466578,-397.0220242453216,8182.918977394812,4596.521318466578,4596.521318466578,-0.13177495357787303,-0.13177495357787303,-0.13177495357787303,-0.13177495357787303,-0.13177495357787303,-0.13177495357787303,0.0,0.0,0.0,3990.814935105941
2011-01-01,4590.485846522671,717.1056114689956,9733.88242720405,4590.485846522671,4590.485846522671,0.18240295717756594,0.18240295717756594,0.18240295717756594,0.18240295717756594,0.18240295717756594,0.18240295717756594,0.0,0.0,0.0,5427.8040398101675
2011-02-01,4584.450374578764,2751.05374607319,11727.975963302908,4584.450374578764,4584.450374578764,0.5732329562896136,0.5732329562896136,0.5732329562896136,0.5732329562896136,0.5732329562896136,0.5732329562896136,0.0,0.0,0.0,7212.408415761576
2011-03-01,4578.998980564912,9330.317075853982,18130.581845588556,4578.998980564912,4578.998980564912,1.9840050901820585,1.9840050901820585,1.9840050901820585,1.9840050901820585,1.9840050901820585,1.9840050901820585,0.0,0.0,0.0,13663.756265944154
2011-04-01,4572.9635086210055,3448.4480488902113,12186.975642467925,4572.9635086210055,4572.9635086210055,0.7192110606444063,0.7192110606444063,0.7192110606444063,0.7192110606444063,0.7192110606444063,0.7192110606444063,0.0,0.0,0.0,7861.889443944485
2011-05-01,4567.12272932045,2100.5312894662916,10431.347032642534,4567.12272932045,4567.12272932045,0.32462820603861087,0.32462820603861087,0.32462820603861087,0.32462820603861087,0.32462820603861087,0.32462820603861087,0.0,0.0,0.0,6049.739587697912
2011-06-01,4561.087257376544,847.0452378921154,10020.992007842768,4561.087257376544,4561.087257376544,0.146076692162351,0.146076692162351,0.146076692162351,0.146076692162351,0.146076692162351,0.146076692162351,0.0,0.0,0.0,5227.355796597959
2011-07-01,4555.246478075988,-671.2166582967648,8386.175107374407,4555.246478075988,4555.246478075988,-0.16691423585138507,-0.16691423585138507,-0.16691423585138507,-0.16691423585138507,-0.16691423585138507,-0.16691423585138507,0.0,0.0,0.0,3794.9109930732216
2011-08-01,4549.211006132081,-674.3237262914474,7778.910283554212,4549.211006132081,4549.211006132081,-0.16790273256416868,-0.16790273256416868,-0.16790273256416868,-0.16790273256416868,-0.16790273256416868,-0.16790273256416868,0.0,0.0,0.0,3785.3860471915136
2011-09-01,4543.175534188174,-710.9985433683117,7791.054685587909,4543.175534188174,4543.175534188174,-0.21791805260449867,-0.21791805260449867,-0.21791805260449867,-0.21791805260449867,-0.21791805260449867,-0.21791805260449867,0.0,0.0,0.0,3553.1355691374843
2011-10-01,4537.334754887618,-292.34335629165435,7956.22359132505,4537.334754887618,4537.334754887618,-0.16588226991975516,-0.16588226991975516,-0.16588226991975516,-0.16588226991975516,-0.16588226991975516,-0.16588226991975516,0.0,0.0,0.0,3784.671366361064
2011-11-01,4531.299282943712,-1300.4896690505716,7600.16111078453,4531.299282943712,4531.299282943712,-0.29953264547578545,-0.29953264547578545,-0.29953264547578545,-0.29953264547578545,-0.29953264547578545,-0.29953264547578545,0.0,0.0,0.0,3174.0272212810523
2011-12-01,4525.458503643156,-269.9884739825962,8485.674814791546,4525.458503643156,4525.458503643156,-0.11823360085570034,-0.11823360085570034,-0.11823360085570034,-0.11823360085570034,-0.11823360085570034,-0.11823360085570034,0.0,0.0,0.0,3990.3972492343764
2012-01-01,4519.423031699249,518.6469436557389,9112.75179679989,4519.423031699249,4519.423031699249,0.03750151493655926,0.03750151493655926,0.03750151493655926,0.03750151493655926,0.03750151493655926,0.03750151493655926,0.0,0.0,0.0,4688.908242027148
