ds,yhat,yhat_lower,yhat_upper
2026-08-01,2757.8631685177756,-2085.341502564053,7595.270367305079
2026-09-01,2369.2289053372215,-2151.8943857027984,7099.743868395385
2026-10-01,2570.5425334417205,-2387.5706609168483,7343.534397561858
2026-11-01,2168.5430318365625,-2649.2151725624976,7313.208667120894
2026-12-01,3003.8785125952973,-2002.841647215103,7582.063235461548
2027-01-01,3946.703484410228,-933.6076236669494,9022.619896048973
2027-02-01,5119.472262384037,140.65761894307465,9880.15573118705
2027-03-01,10810.451440231564,5482.355096420389,15934.860603474373
2027-04-01,5822.5650309352195,781.5386592580908,10738.105473575964
