ds,yhat,yhat_lower,yhat_upper
2026-08-01,2684.7003703592995,-2335.1642235991817,7470.708276019166
2026-09-01,2330.7095719793824,-2726.2007281741608,7239.08777233648
2026-10-01,2593.8513883854307,-2224.4025797311797,7413.4039767555005
2026-11-01,2123.695456722949,-2970.305376520457,6932.757336969255
2026-12-01,3087.0148127354882,-1804.4908704621405,8186.926531520482
2027-01-01,3924.610679924882,-1142.8718300326702,9031.945561152614
2027-02-01,5071.151210447512,-119.66782251181034,9819.3763305972
2027-03-01,10921.038356928571,5536.865682531074,15815.656854331633
2027-04-01,5910.918297601654,634.6337500447888,10577.930250678466
