ds,yearly,yearly_lower,yearly_upper
2009-12-01,-0.1491413647930008,-0.1491413647930008,-0.1491413647930008
2010-01-01,0.32473670600006904,0.32473670600006904,0.32473670600006904
2010-02-01,0.8319145914834705,0.8319145914834705,0.8319145914834705
2010-03-01,1.6190828950169962,1.6190828950169962,1.6190828950169962
2010-04-01,0.7028450542739002,0.7028450542739002,0.7028450542739002
2010-05-01,0.37719055496539516,0.37719055496539516,0.37719055496539516
2010-06-01,0.2242738345345711,0.2242738345345711,0.2242738345345711
2010-07-01,-0.10955946633343178,-0.10955946633343178,-0.10955946633343178
2010-08-01,-0.17560966351402435,-0.17560966351402435,-0.17560966351402435
2010-09-01,-0.25407773333157857,-0.25407773333157857,-0.25407773333157857
2010-10-01,-0.24454103395198856,-0.24454103395198856,-0.24454103395198856
2010-11-01,-0.33955480250338066,-0.33955480250338066,-0.33955480250338066
2010-12-01,-0.13177495357787303,-0.13177495357787303,-0.13177495357787303
2011-01-01,0.18240295717756594,0.18240295717756594,0.18240295717756594
2011-02-01,0.5732329562896136,0.5732329562896136,0.5732329562896136
2011-03-01,1.9840050901820585,1.9840050901820585,1.9840050901820585
2011-04-01,0.7192110606444063,0.7192110606444063,0.7192110606444063
2011-05-01,0.32462820603861087,0.32462820603861087,0.32462820603861087
2011-06-01,0.146076692162351,0.146076692162351,0.146076692162351
2011-07-01,-0.16691423585138507,-0.16691423585138507,-0.16691423585138507
2011-08-01,-0.16790273256416868,-0.16790273256416868,-0.16790273256416868
2011-09-01,-0.21791805260449867,-0.21791805260449867,-0.21791805260449867
2011-10-01,-0.16588226991975516,-0.16588226991975516,-0.16588226991975516
2011-11-01,-0.29953264547578545,-0.29953264547578545,-0.29953264547578545
2011-12-01,-0.11823360085570034,-0.11823360085570034,-0.11823360085570034
2012-01-01,0.03750151493655926,0.03750151493655926,0.03750151493655926
2012-02-01,0.3209888028205982,0.3209888028205982,0.3209888028205982
2012-03-01,0.8970867012419559,0.8970867012419559,0.8970867012419559
2012-04-01,0.654447106171949,0.654447106171949,0.654447106171949
2012-05-01,0.4728516573311528,0.4728516573311528,0.4728516573311528
2012-06-01,0.37804138044772073,0.37804138044772073,0.37804138044772073
2012-07-01,0.010759246584578499,0.010759246584578499,0.010759246584578499
2012-08-01,-0.18328740953144734,-0.18328740953144734,-0.18328740953144734
2012-09-01,-0.3205985837982835,-0.3205985837982835,-0.3205985837982835
2012-10-01,-0.4023524508395924,-0.4023524508395924,-0.4023524508395924
2012-11-01,-0.4256582925326431,-0.4256582925326431,-0.4256582925326431
2012-12-01,-0.17035237538077516,-0.17035237538077516,-0.17035237538077516
2013-01-01,0.46426873776678923,0.46426873776678923,0.46426873776678923
2013-02-01,1.0967616369408988,1.0967616369408988,1.0967616369408988
2013-03-01,1.2566436099749063,1.2566436099749063,1.2566436099749063
2013-04-01,0.6812173977957704,0.6812173977957704,0.6812173977957704
2013-05-01,0.42662389402921447,0.42662389402921447,0.42662389402921447
2013-06-01,0.30164005853501297,0.30164005853501297,0.30164005853501297
2013-07-01,-0.05030121544190313,-0.05030121544190313,-0.05030121544190313
2013-08-01,-0.18073643126128447,-0.18073643126128447,-0.18073643126128447
2013-09-01,-0.28832702438405405,-0.28832702438405405,-0.28832702438405405
2013-10-01,-0.32340626172310477,-0.32340626172310477,-0.32340626172310477
2013-11-01,-0.38162462221968446,-0.38162462221968446,-0.38162462221968446
2013-12-01,-0.14914136479308135,-0.14914136479308135,-0.14914136479308135
2014-01-01,0.3247367059985186,0.3247367059985186,0.3247367059985186
2014-02-01,0.8319145914824423,0.8319145914824423,0.8319145914824423
2014-03-01,1.619082895018976,1.619082895018976,1.619082895018976
2014-04-01,0.7028450542741198,0.7028450542741198,0.7028450542741198
2014-05-01,0.3771905549655685,0.3771905549655685,0.3771905549655685
2014-06-01,0.2242738345345413,0.2242738345345413,0.2242738345345413
2014-07-01,-0.1095594663332939,-0.1095594663332939,-0.1095594663332939
2014-08-01,-0.17560966351361249,-0.17560966351361249,-0.17560966351361249
2014-09-01,-0.25407773333124734,-0.25407773333124734,-0.25407773333124734
2014-10-01,-0.2445410339518008,-0.2445410339518008,-0.2445410339518008
2014-11-01,-0.33955480250333187,-0.33955480250333187,-0.33955480250333187
2014-12-01,-0.13177495357879834,-0.13177495357879834,-0.13177495357879834
2015-01-01,0.1824029571778952,0.1824029571778952,0.1824029571778952
2015-02-01,0.5732329562894015,0.5732329562894015,0.5732329562894015
2015-03-01,1.9840050901833866,1.9840050901833866,1.9840050901833866
2015-04-01,0.7192110606445383,0.7192110606445383,0.7192110606445383
2015-05-01,0.3246282060376941,0.3246282060376941,0.3246282060376941
2015-06-01,0.14607669216217423,0.14607669216217423,0.14607669216217423
2015-07-01,-0.16691423585288712,-0.16691423585288712,-0.16691423585288712
2015-08-01,-0.16790273256340976,-0.16790273256340976,-0.16790273256340976
2015-09-01,-0.21791805260519526,-0.21791805260519526,-0.21791805260519526
2015-10-01,-0.1658822699183556,-0.1658822699183556,-0.1658822699183556
2015-11-01,-0.2995326454756353,-0.2995326454756353,-0.2995326454756353
2015-12-01,-0.11823360085567633,-0.11823360085567633,-0.11823360085567633
2016-01-01,0.03750151493651887,0.03750151493651887,0.03750151493651887
2016-02-01,0.32098880282155895,0.32098880282155895,0.32098880282155895
2016-03-01,0.8970867012425237,0.8970867012425237,0.8970867012425237
2016-04-01,0.6544471061713834,0.6544471061713834,0.6544471061713834
2016-05-01,0.4728516573307754,0.4728516573307754,0.4728516573307754
2016-06-01,0.3780413804482977,0.3780413804482977,0.3780413804482977
2016-07-01,0.010759246585185149,0.010759246585185149,0.010759246585185149
2016-08-01,-0.1832874095321254,-0.1832874095321254,-0.1832874095321254
2016-09-01,-0.3205985837983642,-0.3205985837983642,-0.3205985837983642
2016-10-01,-0.402352450840054,-0.402352450840054,-0.402352450840054
2016-11-01,-0.42565829253331827,-0.42565829253331827,-0.42565829253331827
2016-12-01,-0.17035237538116013,-0.17035237538116013,-0.17035237538116013
2017-01-01,0.46426873776813654,0.46426873776813654,0.46426873776813654
2017-02-01,1.0967616369426816,1.0967616369426816,1.0967616369426816
2017-03-01,1.256643609975885,1.256643609975885,1.256643609975885
2017-04-01,0.6812173977957755,0.6812173977957755,0.6812173977957755
2017-05-01,0.426623894028555,0.426623894028555,0.426623894028555
2017-06-01,0.301640058534454,0.301640058534454,0.301640058534454
2017-07-01,-0.050301215441667456,-0.050301215441667456,-0.050301215441667456
2017-08-01,-0.18073643126149613,-0.18073643126149613,-0.18073643126149613
2017-09-01,-0.2883270243834335,-0.2883270243834335,-0.2883270243834335
2017-10-01,-0.3234062617218943,-0.3234062617218943,-0.3234062617218943
2017-11-01,-0.3816246222201911,-0.3816246222201911,-0.3816246222201911
